file,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,pred,true
../../../data/data_APTOS/test/anodr/002c21358ce6.png,0.940316,0.014974,0.013624,0.015465,0.015621,anodr,anodr
../../../data/data_APTOS/test/anodr/005b95c28852.png,0.939099,0.014293,0.015504,0.014695,0.016408,anodr,anodr
../../../data/data_APTOS/test/anodr/00cc2b75cddd.png,0.936492,0.017200,0.014584,0.016014,0.015710,anodr,anodr
../../../data/data_APTOS/test/anodr/0182152c50de.png,0.939559,0.014420,0.014916,0.015530,0.015576,anodr,anodr
../../../data/data_APTOS/test/anodr/02cd34a85b24.png,0.939470,0.014981,0.014648,0.014655,0.016246,anodr,anodr
../../../data/data_APTOS/test/anodr/03b373718013.png,0.937568,0.015681,0.014737,0.015931,0.016083,anodr,anodr
../../../data/data_APTOS/test/anodr/04aef84a2cc1.png,0.939836,0.014075,0.014847,0.015611,0.015631,anodr,anodr
../../../data/data_APTOS/test/anodr/05b1bb2bdb81.png,0.938878,0.013972,0.013889,0.016653,0.016608,anodr,anodr
../../../data/data_APTOS/test/anodr/07596907347b.png,0.939491,0.015599,0.013841,0.015785,0.015285,anodr,anodr
../../../data/data_APTOS/test/anodr/07751b94a88a.png,0.938631,0.014631,0.015288,0.014817,0.016633,anodr,anodr
../../../data/data_APTOS/test/anodr/0790515cf5af.png,0.936622,0.016639,0.014736,0.015937,0.016066,anodr,anodr
../../../data/data_APTOS/test/anodr/08037e4490e5.png,0.940185,0.013896,0.014422,0.015512,0.015986,anodr,anodr
../../../data/data_APTOS/test/anodr/0851d6a69589.png,0.936363,0.018349,0.014038,0.015221,0.016030,anodr,anodr
../../../data/data_APTOS/test/anodr/08b6e3240858.png,0.938103,0.015554,0.014683,0.016061,0.015599,anodr,anodr
../../../data/data_APTOS/test/anodr/08bef347f40d.png,0.939495,0.014000,0.017135,0.014537,0.014833,anodr,anodr
../../../data/data_APTOS/test/anodr/08ee569d4721.png,0.939576,0.014179,0.015014,0.015605,0.015625,anodr,anodr
../../../data/data_APTOS/test/anodr/09237bf783a4.png,0.940078,0.015425,0.013648,0.014789,0.016061,anodr,anodr
../../../data/data_APTOS/test/anodr/096436d68d06.png,0.938734,0.014640,0.014793,0.015850,0.015983,anodr,anodr
../../../data/data_APTOS/test/anodr/099021fac3c9.png,0.939872,0.015071,0.014933,0.014749,0.015376,anodr,anodr
../../../data/data_APTOS/test/anodr/09c8323c612e.png,0.940787,0.014466,0.014288,0.014792,0.015668,anodr,anodr
../../../data/data_APTOS/test/anodr/0a38b552372d.png,0.938599,0.014937,0.014707,0.015636,0.016121,anodr,anodr
../../../data/data_APTOS/test/anodr/0a85a1e8f9e9.png,0.936928,0.012765,0.017619,0.017225,0.015463,anodr,anodr
../../../data/data_APTOS/test/anodr/0babc12807b2.png,0.013514,0.942788,0.016801,0.011806,0.015092,bmilddr,anodr
../../../data/data_APTOS/test/anodr/0cbcc7b23613.png,0.933751,0.018657,0.016777,0.015405,0.015410,anodr,anodr
../../../data/data_APTOS/test/anodr/0cd31078cd08.png,0.940740,0.013110,0.015322,0.015035,0.015793,anodr,anodr
../../../data/data_APTOS/test/anodr/0ce062f26edc.png,0.942873,0.013500,0.014634,0.014216,0.014778,anodr,anodr
../../../data/data_APTOS/test/anodr/0cecc2864b7f.png,0.940836,0.014247,0.014460,0.014988,0.015469,anodr,anodr
../../../data/data_APTOS/test/anodr/0d9a9896f801.png,0.936607,0.017022,0.015005,0.015675,0.015691,anodr,anodr
../../../data/data_APTOS/test/anodr/0da321efbce6.png,0.938383,0.016836,0.012925,0.015708,0.016148,anodr,anodr
../../../data/data_APTOS/test/anodr/0db1d8dcf219.png,0.938050,0.013264,0.016337,0.015319,0.017030,anodr,anodr
../../../data/data_APTOS/test/anodr/0e3572b5884a.png,0.939126,0.015515,0.013538,0.015888,0.015934,anodr,anodr
../../../data/data_APTOS/test/anodr/0ef4c61dc056.png,0.937698,0.016825,0.014299,0.015745,0.015433,anodr,anodr
../../../data/data_APTOS/test/anodr/0fbbd665431f.png,0.937417,0.015664,0.014708,0.016933,0.015279,anodr,anodr
../../../data/data_APTOS/test/anodr/0fc6829da85b.png,0.939126,0.015123,0.015409,0.015137,0.015205,anodr,anodr
../../../data/data_APTOS/test/anodr/1002b5151b8e.png,0.940132,0.014256,0.014331,0.015358,0.015922,anodr,anodr
../../../data/data_APTOS/test/anodr/103f97a2ab15.png,0.933034,0.016797,0.016657,0.015632,0.017879,anodr,anodr
../../../data/data_APTOS/test/anodr/10a5026eb8e6.png,0.938757,0.015074,0.013866,0.016022,0.016282,anodr,anodr
../../../data/data_APTOS/test/anodr/10de500cf0c5.png,0.940385,0.014175,0.015250,0.015702,0.014488,anodr,anodr
../../../data/data_APTOS/test/anodr/10f10fd30718.png,0.939910,0.014075,0.015372,0.015351,0.015292,anodr,anodr
../../../data/data_APTOS/test/anodr/12058bbb8299.png,0.940300,0.014558,0.014717,0.015210,0.015215,anodr,anodr
../../../data/data_APTOS/test/anodr/12bc439d373a.png,0.939242,0.014349,0.014978,0.015471,0.015961,anodr,anodr
../../../data/data_APTOS/test/anodr/12ef75375322.png,0.941164,0.014448,0.014165,0.015139,0.015084,anodr,anodr
../../../data/data_APTOS/test/anodr/143db89c11c8.png,0.938667,0.014600,0.015082,0.015508,0.016143,anodr,anodr
../../../data/data_APTOS/test/anodr/15b21c80cc31.png,0.939949,0.015723,0.013681,0.015508,0.015139,anodr,anodr
../../../data/data_APTOS/test/anodr/15e24b73d4a7.png,0.936778,0.016195,0.016231,0.015394,0.015402,anodr,anodr
../../../data/data_APTOS/test/anodr/1633f8291a80.png,0.937107,0.016546,0.014532,0.016102,0.015713,anodr,anodr
../../../data/data_APTOS/test/anodr/165634a6167e.png,0.938947,0.014186,0.014542,0.015960,0.016366,anodr,anodr
../../../data/data_APTOS/test/anodr/178412895d5e.png,0.935336,0.014853,0.016858,0.017458,0.015495,anodr,anodr
../../../data/data_APTOS/test/anodr/186c1835eec5.png,0.938274,0.015778,0.014527,0.015719,0.015702,anodr,anodr
../../../data/data_APTOS/test/anodr/18b7e34eab8f.png,0.938823,0.015788,0.013960,0.015770,0.015660,anodr,anodr
../../../data/data_APTOS/test/anodr/18b99159a14f.png,0.939490,0.015618,0.014294,0.014784,0.015813,anodr,anodr
../../../data/data_APTOS/test/anodr/18ce0cdc473d.png,0.936364,0.016716,0.013893,0.016667,0.016359,anodr,anodr
../../../data/data_APTOS/test/anodr/1a0dbc6c0cda.png,0.934771,0.016780,0.017878,0.015531,0.015040,anodr,anodr
../../../data/data_APTOS/test/anodr/1a1e974a7dbf.png,0.938764,0.016868,0.013788,0.015351,0.015228,anodr,anodr
../../../data/data_APTOS/test/anodr/1c47815f4a6b.png,0.935308,0.015484,0.016017,0.016919,0.016272,anodr,anodr
../../../data/data_APTOS/test/anodr/1ca62b3e4fd3.png,0.940443,0.014343,0.014048,0.014992,0.016173,anodr,anodr
