filename,predicted_class,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,0.926,0.03723,0.0358,0.000213,0.000929
20051020_44261_0100_PP_1191.png,anodr,0.998,0.001919,0.0001054,2e-07,8e-07
20051020_44284_0100_PP_502.png,anodr,0.999,0.000653,0.0001171,4e-07,1e-06
20051020_44338_0100_PP_547.png,anodr,0.5986,0.3025,0.0957,0.00087,0.002573
20051020_44400_0100_PP_920.png,anodr,0.5684,0.336,0.093,0.0005016,0.002075
20051020_44431_0100_PP_514.png,anodr,0.6577,0.248,0.0902,0.0008264,0.003012
20051020_44692_0100_PP_419.png,anodr,0.9985,0.000905,0.000546,1e-06,3.24e-05
20051020_44714_0100_PP_1199.png,anodr,0.984,0.01575,0.000418,1.43e-06,1.466e-05
20051020_44982_0100_PP_486.png,anodr,0.9272,0.0685,0.00429,2.1e-05,6.247e-05
20051020_56791_0100_PP_1185.png,anodr,0.9966,0.00326,7.88e-05,2e-07,8e-07
20051020_57157_0100_PP_971.png,anodr,0.9736,0.02472,0.001542,2.44e-06,1.144e-05
20051020_57967_0100_PP_829.png,anodr,0.999,0.0009737,6.37e-05,1e-07,2.3e-06
20051020_58065_0100_PP_561.png,anodr,0.9883,0.010315,0.001336,3.64e-06,4.39e-05
20051020_61757_0100_PP_484.png,anodr,0.993,0.00545,0.001243,7.45e-06,1.633e-05
20051020_62461_0100_PP_76.png,anodr,0.954,0.02615,0.01906,0.0001817,0.000462
20051020_62510_0100_PP_106.png,anodr,0.902,0.0392,0.05643,0.000857,0.001761
20051020_62577_0100_PP_479.png,anodr,0.994,0.00526,0.0004048,7e-07,3.93e-06
20051020_62615_0100_PP_294.png,anodr,0.9844,0.01381,0.001739,4.3e-06,1.687e-05
20051020_63269_0100_PP_1183.png,anodr,0.9937,0.005688,0.0004768,1.1e-06,7.9e-06
20051020_63337_0100_PP_471.png,anodr,0.988,0.01126,0.001093,3e-06,1.824e-05
20051020_64249_0100_PP_1004.png,anodr,0.9956,0.00376,0.0003932,1.13e-06,3.46e-06
20051020_64388_0100_PP_1194.png,anodr,0.999,0.0007157,7.665e-05,2e-07,7e-07
20051020_64653_0100_PP_124.png,anodr,0.997,0.002785,0.0001115,3.6e-07,3.2e-06
20051020_64775_0100_PP_480.png,anodr,0.993,0.006214,0.0006785,4.35e-06,2.2e-05
20051020_64836_0100_PP_1270.png,anodr,0.999,0.000968,6.54e-05,2.4e-07,9e-07
20051021_36380_0100_PP_135.png,anodr,0.998,0.001792,0.0001637,5e-07,4.53e-06
20051021_36476_0100_PP_1243.png,anodr,0.9897,0.009834,0.0005274,1.67e-06,1.717e-05
