file_name,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,pred_class
20051020_43808_0100_PP_967.png,0.934170,0.015082,0.017603,0.016106,0.017039,anodr
20051020_44261_0100_PP_1191.png,0.924004,0.024219,0.016353,0.019149,0.016275,anodr
20051020_44284_0100_PP_502.png,0.910903,0.021484,0.033621,0.019763,0.014228,anodr
20051020_44338_0100_PP_547.png,0.917309,0.022472,0.024770,0.014038,0.021411,anodr
20051020_44400_0100_PP_920.png,0.913908,0.030693,0.020113,0.014977,0.020309,anodr
20051020_44431_0100_PP_514.png,0.920645,0.021195,0.026870,0.014207,0.017083,anodr
20051020_44692_0100_PP_419.png,0.928466,0.015404,0.023073,0.015247,0.017810,anodr
20051020_44714_0100_PP_1199.png,0.928092,0.016239,0.021815,0.016945,0.016909,anodr
20051020_44982_0100_PP_486.png,0.921898,0.028654,0.016041,0.017008,0.016399,anodr
20051020_56791_0100_PP_1185.png,0.912589,0.030593,0.014745,0.018342,0.023731,anodr
20051020_57157_0100_PP_971.png,0.279193,0.622456,0.054233,0.019308,0.024809,bmilddr
20051020_57967_0100_PP_829.png,0.930006,0.014873,0.018588,0.018306,0.018227,anodr
20051020_58065_0100_PP_561.png,0.931898,0.014806,0.016859,0.017589,0.018848,anodr
20051020_61757_0100_PP_484.png,0.927614,0.011882,0.015834,0.020278,0.024392,anodr
20051020_62461_0100_PP_76.png,0.744697,0.046252,0.165347,0.017029,0.026676,anodr
20051020_62510_0100_PP_106.png,0.681905,0.028860,0.229580,0.033303,0.026352,anodr
20051020_62577_0100_PP_479.png,0.932700,0.016048,0.015097,0.020099,0.016057,anodr
20051020_62615_0100_PP_294.png,0.932742,0.017606,0.014033,0.017838,0.017781,anodr
20051020_63269_0100_PP_1183.png,0.928071,0.018422,0.019731,0.014462,0.019315,anodr
20051020_63337_0100_PP_471.png,0.920899,0.027579,0.018807,0.014238,0.018477,anodr
20051020_64249_0100_PP_1004.png,0.921910,0.025630,0.015504,0.021801,0.015156,anodr
20051020_64388_0100_PP_1194.png,0.928192,0.020966,0.016444,0.018145,0.016253,anodr
20051020_64653_0100_PP_124.png,0.925899,0.020271,0.017934,0.015335,0.020561,anodr
20051020_64775_0100_PP_480.png,0.914915,0.030195,0.017424,0.017001,0.020465,anodr
20051020_64836_0100_PP_1270.png,0.922120,0.025956,0.016816,0.016913,0.018194,anodr
20051021_36380_0100_PP_135.png,0.930109,0.017198,0.015491,0.020195,0.017007,anodr
20051021_36476_0100_PP_1243.png,0.929613,0.015796,0.017863,0.021230,0.015499,anodr
20051021_39845_0100_PP_315.png,0.931967,0.015015,0.017766,0.018107,0.017145,anodr
20051021_39914_0100_PP_1352.png,0.932418,0.015749,0.016897,0.017467,0.017469,anodr
20051021_51418_0100_PP_18.png,0.929419,0.019518,0.016195,0.016646,0.018222,anodr
20051021_51476_0100_PP_150.png,0.873669,0.054657,0.036526,0.015266,0.019882,anodr
20051021_51936_0100_PP_1379.png,0.925287,0.024989,0.018850,0.014283,0.016591,anodr
20051021_51994_0100_PP_1283.png,0.929930,0.021788,0.016414,0.015997,0.015872,anodr
20051021_57798_0100_PP_1322.png,0.928842,0.015964,0.021837,0.016623,0.016735,anodr
20051021_57862_0100_PP_372.png,0.915591,0.031043,0.022609,0.013860,0.016896,anodr
20051021_57975_0100_PP_517.png,0.857400,0.007179,0.039224,0.025555,0.070641,anodr
20051021_58035_0100_PP_1138.png,0.885437,0.026198,0.051721,0.011615,0.025029,anodr
20051021_58388_0100_PP_1300.png,0.928932,0.019916,0.016915,0.017662,0.016574,anodr
20051021_58522_0100_PP_50.png,0.930162,0.018460,0.015859,0.017943,0.017576,anodr
20051109_57843_0400_PP_1109.png,0.929450,0.017522,0.019460,0.016615,0.016953,anodr
20051109_59969_0400_PP_1079.png,0.933056,0.017945,0.016427,0.014821,0.017750,anodr
20051109_60031_0400_PP_528.png,0.928134,0.018800,0.020777,0.017210,0.015079,anodr
20051109_60136_0400_PP_905.png,0.877983,0.018865,0.017500,0.013250,0.072402,anodr
20051110_33960_0400_PP_35.png,0.920701,0.020057,0.013038,0.014941,0.031262,anodr
20051110_34013_0400_PP_151.png,0.932199,0.013704,0.020876,0.016696,0.016525,anodr
20051110_35239_0400_PP_836.png,0.929746,0.019549,0.018291,0.015209,0.017205,anodr
