filename,predicted_class,prob_a_noamd,prob_b_amd
N0001.jpg,a_noamd,0.7695,0.2303
N0002.jpg,a_noamd,0.904,0.096
N0003.jpg,a_noamd,0.829,0.1708
N0004.jpg,a_noamd,0.8687,0.1311
N0005.jpg,a_noamd,0.726,0.2737
N0006.jpg,a_noamd,0.799,0.201
N0007.jpg,a_noamd,0.938,0.06198
N0008.jpg,a_noamd,0.94,0.05988
N0009.jpg,a_noamd,0.87,0.13
N0010.jpg,a_noamd,0.739,0.2615
N0011.jpg,a_noamd,0.7495,0.2505
N0012.jpg,a_noamd,0.879,0.1211
N0013.jpg,a_noamd,0.943,0.05698
N0014.jpg,a_noamd,0.9336,0.06635
N0015.jpg,a_noamd,0.8276,0.1726
N0016.jpg,a_noamd,0.876,0.12396
N0017.jpg,a_noamd,0.9272,0.0729
N0018.jpg,a_noamd,0.9375,0.0626
N0019.jpg,a_noamd,0.935,0.0649
N0020.jpg,a_noamd,0.8335,0.1665
N0021.jpg,a_noamd,0.8784,0.12177
N0022.jpg,a_noamd,0.7886,0.2113
N0023.jpg,a_noamd,0.7944,0.2053
N0024.jpg,a_noamd,0.643,0.357
N0025.jpg,a_noamd,0.905,0.0951
N0026.jpg,a_noamd,0.8965,0.1034
N0027.jpg,a_noamd,0.7812,0.2188
N0028.jpg,a_noamd,0.875,0.125
N0029.jpg,a_noamd,0.826,0.174
N0030.jpg,a_noamd,0.8076,0.1923
N0031.jpg,a_noamd,0.859,0.1411
N0032.jpg,a_noamd,0.8613,0.1389
N0033.jpg,a_noamd,0.9355,0.0644
N0034.jpg,a_noamd,0.849,0.1509
N0035.jpg,a_noamd,0.556,0.4438
N0036.jpg,a_noamd,0.6465,0.3533
N0037.jpg,a_noamd,0.9194,0.0804
N0038.jpg,a_noamd,0.912,0.08777
N0039.jpg,b_amd,0.1343,0.8657
N0040.jpg,b_amd,0.338,0.662
N0041.jpg,a_noamd,0.518,0.482
N0042.jpg,b_amd,0.07697,0.923
N0043.jpg,b_amd,0.481,0.519
N0044.jpg,a_noamd,0.8335,0.1663
N0045.jpg,a_noamd,0.9175,0.08246
N0046.jpg,a_noamd,0.9536,0.0462
N0047.jpg,a_noamd,0.9014,0.0987
N0048.jpg,a_noamd,0.9233,0.07666
N0049.jpg,a_noamd,0.9243,0.07556
N0050.jpg,a_noamd,0.926,0.0741
N0051.jpg,a_noamd,0.8525,0.1473
N0052.jpg,a_noamd,0.6577,0.3423
N0053.jpg,a_noamd,0.7197,0.2803
N0054.jpg,a_noamd,0.7847,0.2151
N0055.jpg,a_noamd,0.939,0.06104
N0056.jpg,a_noamd,0.8716,0.1283
N0057.jpg,a_noamd,0.8076,0.1926
N0058.jpg,a_noamd,0.8867,0.11346
N0059.jpg,a_noamd,0.8,0.2002
N0060.jpg,a_noamd,0.934,0.066
N0061.jpg,a_noamd,0.82,0.1799
N0062.jpg,a_noamd,0.934,0.0658
N0063.jpg,a_noamd,0.8784,0.12177
N0064.jpg,a_noamd,0.926,0.07416
N0065.jpg,a_noamd,0.91,0.0898
N0066.jpg,b_amd,0.2207,0.7793
N0067.jpg,b_amd,0.2115,0.7886
N0068.jpg,a_noamd,0.9287,0.07104
N0069.jpg,a_noamd,0.898,0.1019
N0070.jpg,a_noamd,0.915,0.0847
N0071.jpg,a_noamd,0.9336,0.0664
N0072.jpg,a_noamd,0.952,0.0479
N0073.jpg,a_noamd,0.9507,0.04916
N0074.jpg,a_noamd,0.9526,0.04752
N0075.jpg,a_noamd,0.87,0.1298
N0076.jpg,a_noamd,0.8545,0.1454
N0077.jpg,a_noamd,0.914,0.086
N0078.jpg,a_noamd,0.9165,0.0837
N0079.jpg,a_noamd,0.9165,0.0837
N0080.jpg,a_noamd,0.907,0.093
N0081.jpg,a_noamd,0.9204,0.07947
N0082.jpg,a_noamd,0.882,0.11835
N0083.jpg,a_noamd,0.928,0.0716
N0084.jpg,a_noamd,0.8677,0.1321
N0085.jpg,a_noamd,0.754,0.2462
N0086.jpg,b_amd,0.2249,0.7754
N0087.jpg,a_noamd,0.7954,0.2047
N0088.jpg,b_amd,0.3918,0.608
N0089.jpg,a_noamd,0.902,0.098
N0090.jpg,a_noamd,0.896,0.1041
N0091.jpg,a_noamd,0.94,0.05988
N0092.jpg,a_noamd,0.902,0.0979
N0093.jpg,a_noamd,0.852,0.1481
N0094.jpg,a_noamd,0.9473,0.05267
N0095.jpg,a_noamd,0.9004,0.09955
N0096.jpg,a_noamd,0.929,0.0707
N0097.jpg,b_amd,0.2551,0.745
N0098.jpg,b_amd,0.2373,0.7627
N0099.jpg,a_noamd,0.7993,0.2004
N0100.jpg,b_amd,0.4526,0.5474
N0101.jpg,a_noamd,0.564,0.436
N0102.jpg,a_noamd,0.9185,0.0814
N0103.jpg,a_noamd,0.925,0.0754
N0104.jpg,a_noamd,0.906,0.0941
N0105.jpg,a_noamd,0.918,0.0819
N0106.jpg,a_noamd,0.8564,0.1434
N0107.jpg,a_noamd,0.91,0.08984
N0108.jpg,a_noamd,0.8286,0.1716
N0109.jpg,a_noamd,0.888,0.11176
N0110.jpg,a_noamd,0.6562,0.344
N0111.jpg,a_noamd,0.934,0.06604
N0112.jpg,a_noamd,0.9414,0.05878
N0113.jpg,a_noamd,0.9434,0.05676
N0114.jpg,a_noamd,0.545,0.4553
N0115.jpg,a_noamd,0.5317,0.468
N0116.jpg,a_noamd,0.8623,0.1375
N0117.jpg,a_noamd,0.941,0.05933
N0118.jpg,a_noamd,0.875,0.1249
N0119.jpg,a_noamd,0.9277,0.0724
N0120.jpg,a_noamd,0.876,0.1241
N0121.jpg,a_noamd,0.9136,0.0863
N0122.jpg,a_noamd,0.7637,0.2362
N0123.jpg,a_noamd,0.8687,0.1312
N0124.jpg,a_noamd,0.925,0.07513
N0125.jpg,a_noamd,0.8467,0.1534
N0126.jpg,a_noamd,0.8384,0.1616
N0127.jpg,b_amd,0.1749,0.825
N0128.jpg,b_amd,0.09607,0.904
N0129.jpg,b_amd,0.1644,0.8354
N0130.jpg,a_noamd,0.858,0.1422
N0131.jpg,a_noamd,0.8745,0.1252
N0132.jpg,a_noamd,0.8394,0.1605
N0133.jpg,a_noamd,0.7236,0.2764
N0134.jpg,a_noamd,0.93,0.0698
N0135.jpg,a_noamd,0.906,0.0941
N0136.jpg,a_noamd,0.908,0.0916
N0137.jpg,a_noamd,0.9033,0.0968
N0138.jpg,a_noamd,0.9165,0.0836
N0139.jpg,a_noamd,0.913,0.08704
N0140.jpg,a_noamd,0.9307,0.06915
N0141.jpg,a_noamd,0.9297,0.0703
N0142.jpg,a_noamd,0.9473,0.05292
N0143.jpg,a_noamd,0.941,0.059
N0144.jpg,a_noamd,0.934,0.0658
N0145.jpg,a_noamd,0.838,0.1619
N0146.jpg,a_noamd,0.9507,0.04907
N0147.jpg,a_noamd,0.9473,0.05292
N0148.jpg,a_noamd,0.941,0.059
N0149.jpg,a_noamd,0.934,0.0658
N0150.jpg,a_noamd,0.7837,0.2161
N0151.jpg,a_noamd,0.718,0.2822
N0152.jpg,a_noamd,0.7856,0.2141
N0153.jpg,a_noamd,0.8354,0.1647
N0154.jpg,a_noamd,0.8613,0.1387
N0155.jpg,a_noamd,0.8843,0.11597
N0156.jpg,a_noamd,0.806,0.194
N0157.jpg,a_noamd,0.8877,0.1124
N0158.jpg,a_noamd,0.9375,0.06256
N0159.jpg,a_noamd,0.9067,0.0932
N0160.jpg,a_noamd,0.9277,0.0723
N0161.jpg,a_noamd,0.916,0.08405
N0162.jpg,a_noamd,0.646,0.3538
N0163.jpg,a_noamd,0.621,0.3792
N0164.jpg,a_noamd,0.908,0.0918
N0165.jpg,a_noamd,0.9355,0.06445
N0166.jpg,a_noamd,0.8896,0.1103
N0167.jpg,a_noamd,0.7817,0.2181
N0168.jpg,a_noamd,0.809,0.191
N0169.jpg,a_noamd,0.632,0.3682
N0170.jpg,a_noamd,0.9062,0.0937
N0171.jpg,a_noamd,0.941,0.05933
N0172.jpg,a_noamd,0.9434,0.05685
N0173.jpg,a_noamd,0.7515,0.2487
N0174.jpg,a_noamd,0.939,0.06104
N0175.jpg,a_noamd,0.8364,0.1638
N0176.jpg,a_noamd,0.7524,0.2477
N0177.jpg,a_noamd,0.913,0.0871
N0178.jpg,a_noamd,0.928,0.07196
N0179.jpg,a_noamd,0.778,0.2219
N0180.jpg,b_amd,0.02696,0.973
N0181.jpg,b_amd,0.05612,0.944
N0182.jpg,a_noamd,0.9204,0.0797
N0183.jpg,a_noamd,0.894,0.106
N0184.jpg,a_noamd,0.913,0.08673
N0185.jpg,a_noamd,0.941,0.059
N0186.jpg,a_noamd,0.923,0.07697
N0187.jpg,a_noamd,0.5967,0.403
N0188.jpg,a_noamd,0.81,0.19
N0189.jpg,b_amd,0.4739,0.5264
N0190.jpg,a_noamd,0.5845,0.4155
N0191.jpg,b_amd,0.276,0.724
N0192.jpg,b_amd,0.3335,0.6665
N0193.jpg,b_amd,0.1042,0.896
N0194.jpg,a_noamd,0.792,0.2081
N0195.jpg,b_amd,0.179,0.821
N0196.jpg,a_noamd,0.9336,0.0663
N0197.jpg,a_noamd,0.817,0.1833
N0198.jpg,a_noamd,0.8013,0.1989
N0199.jpg,a_noamd,0.89,0.1098
N0200.jpg,b_amd,0.0341,0.966
N0201.jpg,b_amd,0.16,0.84
N0202.jpg,b_amd,0.3672,0.633
N0203.jpg,a_noamd,0.854,0.1458
N0204.jpg,a_noamd,0.917,0.0832
N0205.jpg,a_noamd,0.9424,0.05765
N0206.jpg,a_noamd,0.9272,0.07275
N0207.jpg,a_noamd,0.861,0.1393
N0208.jpg,a_noamd,0.818,0.1823
N0209.jpg,a_noamd,0.9365,0.0636
N0210.jpg,a_noamd,0.9414,0.05844
N0211.jpg,a_noamd,0.92,0.0799
N0212.jpg,a_noamd,0.806,0.1941
N0213.jpg,a_noamd,0.893,0.1067
N0214.jpg,a_noamd,0.8794,0.1207
N0215.jpg,a_noamd,0.924,0.0762
N0216.jpg,a_noamd,0.893,0.1072
N0217.jpg,a_noamd,0.9043,0.09576
N0218.jpg,a_noamd,0.935,0.06494
N0219.jpg,a_noamd,0.8726,0.1272
N0220.jpg,a_noamd,0.7886,0.2113
N0221.jpg,a_noamd,0.814,0.1863
N0222.jpg,a_noamd,0.886,0.11365
N0223.jpg,a_noamd,0.9014,0.0987
N0224.jpg,a_noamd,0.907,0.093
N0225.jpg,a_noamd,0.9087,0.0915
N0226.jpg,a_noamd,0.902,0.0981
N0227.jpg,a_noamd,0.775,0.225
N0228.jpg,a_noamd,0.675,0.3252
N0229.jpg,a_noamd,0.7627,0.2374
N0230.jpg,a_noamd,0.7812,0.2189
N0231.jpg,a_noamd,0.5625,0.4373
N0232.jpg,a_noamd,0.721,0.2786
N0233.jpg,a_noamd,0.843,0.1573
N0234.jpg,a_noamd,0.906,0.0942
N0235.jpg,a_noamd,0.9473,0.05283
N0236.jpg,a_noamd,0.916,0.0838
N0237.jpg,b_amd,0.4917,0.5083
N0238.jpg,b_amd,0.2119,0.788
N0239.jpg,a_noamd,0.6885,0.3118
N0240.jpg,a_noamd,0.646,0.3538
N0241.jpg,a_noamd,0.8335,0.1666
N0242.jpg,a_noamd,0.767,0.2329
N0243.jpg,a_noamd,0.9185,0.0814
N0244.jpg,a_noamd,0.767,0.2328
N0245.jpg,a_noamd,0.936,0.06384
N0246.jpg,a_noamd,0.94,0.06015
N0247.jpg,a_noamd,0.88,0.12024
N0248.jpg,a_noamd,0.858,0.142
